Баллоны и газы {1};;;
ГАЗЫ {2};;;
КИСЛОРОД  ГАЗ ТЕХНИЧЕСКИЙ СОРТ  1 ГОСТ 6331-78 (99,7%) {3};;;
 Заправка Баллона 2л ; 400,00р. ; 400,00р. ;0%
 Заправка Баллона 5л ; 400,00р. ; 400,00р. ;0%
 Заправка Баллона 10л ; 400,00р. ; 400,00р. ;0%
 Заправка Баллона 40л ; 600,00р. ; 600,00р. ;0%
 Кислород жидкий технический* ;  24р./кг. ; 24р./кг. ;0%
ПРОПАН  ГАЗ СЖИЖЕННЫЙ УГЛЕВОДОРОДНЫЙ ГОСТ 20448-90 {3};;;
 Заправка Баллона 5л ; 300,00р. ; 300,00р. ;0%
 Заправка Баллона 12л ; 550,00р. ; 550,00р. ;0%
 Заправка Баллона 27л ; 950,00р. ; 950,00р. ;0%
 Заправка Баллона 50л ; 1 350,00р. ; 1 350,00р. ;0%
УГЛЕКИСЛОТА ВЫСШИЙ СОРТ ГОСТ 8050-85  (99,8%)      {3};;;
 Заправка Баллона 5л/3кг ; 280,00р. ; 280,00р. ;0%
 Заправка Баллона 10л/6кг ; 350,00р. ; 350,00р. ;0%
 Заправка Баллона 12л/7,2кг ; 560,00р. ; 560,00р. ;0%
 Заправка Баллона 20л/12кг ; 750,00р. ; 750,00р. ;0%
 Заправка Баллона 40л/24кг ; 1 400,00р. ; 1 400,00р. ;0%
АРГОН ГАЗ СОРТ ВЫСШИЙ ГОСТ 10157-79 (99,993%) {3};;;
 Заправка Баллона 5л ; 970,00р. ; 970,00р. ;0%
 Заправка Баллона 10л ; 1 700,00р. ; 1 700,00р. ;0%
 Заправка Баллона 20л ; 2 500,00р. ; 2 500,00р. ;0%
 Заправка Баллона 40л ; 4 500,00р. ; 4 500,00р. ;0%
АРГОН ВЫСОКОЙ ЧИСТОТЫ ТУ 2114-005-05798345-2009 (99,998%)  {3};;;
 Заправка Баллона 5л ; 1 600,00р. ; 1 600,00р. ;0%
 Заправка Баллона 10л ; 2 800,00р. ; 2 800,00р. ;0%
 Заправка Баллона 20л ; 5 250,00р. ; 5 250,00р. ;0%
 Заправка Баллона 40л ; 8 400,00р. ; 8 400,00р. ;0%
АЗОТ  ГАЗ ОСОБОЙ ЧИСТОТЫ СОРТ 1 ГОСТ 9293-74 (99,99%)  {3};;;
 Заправка Баллона 5л ; 200,00р. ; 200,00р. ;0%
 Заправка Баллона 10л ; 250,00р. ; 250,00р. ;0%
 Заправка Баллона 40л ; 750,00р. ; 750,00р. ;0%
СВАРОЧНАЯ СМЕСЬ  82% Ar  - 18% СО2     {3};;;
 Заправка Баллона 10л ; 1 700,00р. ; 1 700,00р. ;0%
 Заправка Баллона 20л ; 2 500,00р. ; 2 500,00р. ;0%
 Заправка Баллона 40л ; 4 500,00р. ; 4 500,00р. ;0%
АЦЕТИЛЕН МАРКИ Б    {3};;;
 Заправка Баллона 40л ; 5 500,00р. ; 5 500,00р. ;0%
 СЖАТЫЙ ВОЗДУХ {3} ;;;
 Заправка Баллона 40л (150 атмосфер) ; 800,00р. ; 800,00р. ;0%
 Заправка Баллона 40л (200 атмосфер) ; 1 080,00р. ; 1 080,00р. ;0%
 Воздух 150 атмосфер ; 20р/литр ; 20р/литр ;0%
 Воздух 200 атмосфер ; 27р/литр ; 27р/литр ;0%
 Воздух 300 атмосфер ; 40р/литр ; 40р/литр ;0%
БАЛЛОНЫ {2};;;
Баллоны новые (кислородный,аргоновый,углекислотный,азотный,св.смесь) {3};;;
 Баллон 2л ; 3 900,00р. ; 3 900,00р. ;0%
 Баллон 5л ; 4 500,00р. ; 4 500,00р. ;0%
 Баллон 10л ; 5 800,00р. ; 5 800,00р. ;0%
 Баллон 20л (длинный) ; 9 800,00р. ; 9 800,00р. ;0%
 Баллон 40л ; 18 900,00р. ; 18 900,00р. ;0%
Баллоны новые Пропановые {3};;;
 Баллон 5л ; 3 260,00р. ; 3 260,00р. ;0%
 Баллон 12л ; 3 890,00р. ; 3 890,00р. ;0%
 Баллон 27л ; 4 940,00р. ; 4 940,00р. ;0%
 Баллон 50л ; 7 200,00р. ; 7 200,00р. ;0%
Баллоны переаттестованные {3};;;
